stfgov,stflife,stfeco,stfdem,reform,education,edulevel,male,age,edulevel.1,society,polinterest,tv,religious,ideology,family,prosp,absdate,difdate,pdwrk,unempl,hswrk,Treatment,pscores,distance,weights
3,10,3,9,0,0,3,0,70,3,7,3,3,8,6,0,0,20,-20,0,0,0,Control,0.36745367297352977,0.36745367297352977,1
2,4,3,9,0,0,4,1,47,4,4,4,2,7,7,0,0,4,-4,1,0,1,Control,0.4684125119280188,0.4684125119280188,1
6,8,4,6,1,0,6,0,50,6,6,3,2,10,5,0,0,7,7,1,0,0,Treated,0.47213068715698603,0.47213068715698603,1
8,10,8,9,1,0,1,0,85,1,5,2,3,4,5,0,0,1,1,0,0,0,Treated,0.28062786076745955,0.28062786076745955,1
8,9,7,8,1,0,7,1,66,7,8,4,2,0,2,0,0,13,13,0,0,0,Treated,0.2934582075485291,0.2934582075485291,1
3,9,6,9,0,0,2,0,49,2,7,3,2,3,5,1,0,25,-25,1,0,1,Control,0.44916139677053224,0.44916139677053224,1
8,9,7,10,0,0,3,0,47,3,5,3,2,2,3,0,0,7,-7,1,0,1,Control,0.4379577643560446,0.4379577643560446,1
6,9,5,8,0,0,3,1,65,3,8,3,3,5,6,0,0,33,-33,0,0,0,Control,0.345162609905778,0.345162609905778,1
6,9,6,8,0,1,2,0,19,2,6,3,1,0,7,0,1,28,-28,0,0,1,Control,0.47822049779435194,0.47822049779435194,1
0,4,2,2,0,0,6,0,58,6,5,3,2,5,5,1,0,32,-32,0,0,0,Control,0.39840778959491513,0.39840778959491513,1
6,8,7,10,0,0,6,1,36,6,7,3,1,3,4,0,1,39,-39,1,0,0,Control,0.47568963443248047,0.47568963443248047,1
3,7,4,7,0,0,6,1,43,6,8,3,2,6,7,0,1,43,-43,1,0,0,Control,0.45832986532172876,0.45832986532172876,1
7,10,7,8,0,1,2,1,17,2,6,2,1,4,4,1,1,28,-28,0,0,0,Control,0.47211732403659346,0.47211732403659346,1
7,9,6,10,0,0,6,0,28,6,8,4,1,2,2,0,0,12,-12,1,0,1,Control,0.5293700462053251,0.5293700462053251,1
4,9,5,7,0,0,6,0,77,6,8,3,2,4,6,0,0,27,-27,0,0,1,Control,0.3097552943495418,0.3097552943495418,1
5,10,5,5,0,0,6,0,65,6,7,3,2,5,7,0,0,36,-36,0,0,1,Control,0.373296689151286,0.373296689151286,1
4,7,4,6,0,0,3,0,43,3,5,2,1,6,8,0,1,29,-29,0,1,0,Control,0.5208796021740365,0.5208796021740365,1
3,8,3,8,1,0,3,0,63,3,8,3,2,4,9,0,0,1,1,0,0,1,Treated,0.4008391927076379,0.4008391927076379,1
3,6,3,5,1,0,2,1,56,2,5,2,3,3,7,1,0,21,21,1,0,0,Treated,0.3775196538343829,0.3775196538343829,1
6,9,8,6,0,0,5,0,41,5,7,3,2,5,5,0,1,32,-32,1,0,0,Control,0.4840018054680986,0.4840018054680986,1
3,9,4,8,0,0,5,1,57,5,8,4,4,1,7,0,0,13,-13,1,0,1,Control,0.33554607183479385,0.33554607183479385,1
0,9,1,1,0,0,5,1,61,5,6,4,4,0,0,0,0,28,-28,1,0,0,Control,0.28711289308368876,0.28711289308368876,1
8,9,8,6,0,0,3,1,57,3,8,3,2,6,5,1,0,32,-32,1,0,0,Control,0.401383161815801,0.401383161815801,1
5,9,5,9,1,1,4,0,21,4,8,3,1,7,5,0,0,3,3,0,0,0,Treated,0.49764730364157794,0.49764730364157794,1
6,7,5,8,0,0,2,1,77,2,7,4,5,6,0,0,0,7,-7,0,0,0,Control,0.26043753134527475,0.26043753134527475,1
